Arabic
Armenian
Avestan
Balinese
Bamum
Bashkir
Bassa-vah
Batak
Belarusian
Bengali
Bopomofo . Zhuyin
Brahmi
Buginese
Buhid
Bulgarian
Carian
Caucasian albanian
Chakma
Cham
Cherokee
Chinese pinyin
Coptic
Cypriot syllabary
Cyrillic
Czech
Deseret
Devanagari
Elbasan
English
Esperanto
Ethiopic Geʻez
French
Georgian
German
Glagolitic
Gothic
Grantha
Greek
Gujarati
Gurmukhi
Hangul
Hanunoo
Hebrew
Hungarian
Imperial aramaic
International phonetic
Italian
Japanese hiragana
Japanese katakana
Javanese
Kaithi
Kannada
Kayah li
Kazakh
Kharoshthi
Khmer
Khojki
Khudawadi
Lao
Latin
Lepcha
Limbu
Linear B syllabary
Lisu
Lycian
Lydian
Mahajani
Malayalam
Mandaic
Manichaean
Meetei mayek
Mende kikakui
Meroitic cursive
Modi
Mongolian
Mro
Myanmar
Nabataean
New tai lue
Ngham
Nko
Ol chiki
Old italic etruscan
Old north arabian
Old permic
Old persian
Old south arabian
Old turkic runic
Oriya
Osmanya
Pahawh hmong
Pahlavi
Palmyrene
Pau cin hau
Phags-pa
Phoenician
Polish
Pollard
Rejang
Runic
Russian
Samaritan
Saurashtra
Sharada
Shavian
Siddham
Sinhala
Sora sompeng
Spanish
Sundanese
Syloti nagri
Syriac
Tagalog
Tagbanwa
Tai le
Tai tham
Tai viet
Takri
Tamil
Tatar
Telugu
Thaana
Thai
Tibetan
Tifinagh
Tirhuta
Turkish
Ugaritic
Ukrainian
Unified canadian aboriginal syllabary
Vai syllabary
Varang kshiti
Yi syllabary
